time_UTC  Vup  Vnorth  Veast  Vdown
690468401.982  0.0190275  0.0261193  -0.0536203  -0.0190275
690468402.038  -0.0152964  -0.0221574  0.0109525  0.0152964
690468402.094  0.0224408  0.0454089  -0.00577555  -0.0224408
690468402.150  0.026822  -0.0183512  0.036066  -0.026822
690468402.206  -0.0788834  0.0125164  -0.00560297  0.0788834
690468402.262  0.0225227  -0.0129041  -0.00864381  -0.0225227
690468402.318  0.0165671  -0.00851434  -0.00134383  -0.0165671
690468402.374  -0.0272351  0.0114461  0.0149003  0.0272351
690468402.430  0.0204551  -0.0368008  0.0251484  -0.0204551
690468402.486  -0.00630956  0.00234348  -0.0133823  0.00630956
690468402.542  -0.0195994  0.00192183  -0.0206782  0.0195994
690468402.598  -0.0445779  0.0562423  -0.0143165  0.0445779
690468402.654  0.0273677  -0.0133518  -0.00835575  -0.0273677
690468402.710  0.0234556  -0.0358467  0.0437979  -0.0234556
690468402.766  -0.000193823  0.0122501  -0.0217835  0.000193823
690468402.822  -0.0159251  -0.0142388  0.00619333  0.0159251
690468402.878  -0.053796  0.0279048  -0.00892437  0.053796
690468402.934  0.0957401  -0.00824774  0.00515791  -0.0957401
690468402.990  -0.0210653  0.00592144  0.0178484  0.0210653
690468403.046  0.0226395  -0.0255871  0.0295054  -0.0226395
690468403.102  -0.0284899  0.00935405  -0.0446886  0.0284899
690468403.158  0.0342725  0.000302351  -0.0150176  -0.0342725
690468403.214  -0.0623856  -0.000744901  0.0154621  0.0623856
690468403.270  0.0115137  -0.0387822  0.0131829  -0.0115137
690468403.326  0.0159226  0.0403255  0.00843548  -0.0159226
690468403.382  -0.0245595  -6.18848e-05  -0.0125147  0.0245595
690468403.438  -0.0325249  0.00469797  -0.00408389  0.0325249
690468403.494  0.0439392  -0.00590159  0.00380233  -0.0439392
690468403.550  0.0120866  -0.0570684  0.024088  -0.0120866
690468403.606  0.0175027  0.0229785  0.00684948  -0.0175027
690468403.662  -0.054461  0.0508908  -0.0526764  0.054461
690468403.718  -0.0120495  -0.0037158  -0.00518797  0.0120495
690468403.774  0.054388  -0.0378791  0.0621672  -0.054388
690468403.830  0.000209434  -0.0250947  -0.0337827  -0.000209434
690468403.886  -0.0412304  0.0374526  0.0226444  0.0412304
690468403.942  0.040975  -0.0503418  0.00025947  -0.040975
690468403.998  -0.0294339  0.0204913  -0.0150067  0.0294339
690468404.054  0.041376  0.0217467  0.0289552  -0.041376
690468404.110  -0.0580317  0.0215264  -0.00218323  0.0580317
690468404.166  -0.0435037  -0.0294996  -0.00787534  0.0435037
690468404.222  0.0610894  -0.022563  -0.0273928  -0.0610894
690468404.278  0.00626938  0.0271855  0.0254016  -0.00626938
690468404.334  0.0626663  -0.0296418  0.00186661  -0.0626663
690468404.390  -0.0722655  0.0181963  0.0251581  0.0722655
690468404.446  -0.0425872  -0.00640344  -0.00937109  0.0425872
690468404.502  0.0118502  0.013056  -0.0494713  -0.0118502
690468404.558  -0.0391434  0.0260996  0.0115853  0.0391434
690468404.614  0.050327  -0.0281874  0.0487967  -0.050327
690468404.670  -0.00376767  -0.0237562  -0.0131694  0.00376767
690468404.726  0.0430884  -0.0115627  -0.00473015  -0.0430884
690468404.782  0.0496571  -0.0195472  -0.0210708  -0.0496571
690468404.838  0.0631329  -0.0364376  0.0528875  -0.0631329
